id,system,platform,dataset,sequence,mode,inputVariant,nativeTotalMs,nativeTotalLabel,reportedCpuPercent,reportedProcessMemoryMiB,selectedSourceRowRuns,nativeTimeContributingRuns,cpuContributingRuns,memoryContributingRuns,sourceRef,sourceTable,publicRunArtifacts
"r02-mono-desktop-sqrtvins","sqrtVINS","Desktop","LaMAria","R_02_easy","mono",,"5.58","5.58","64.33","277.7","5",,,,"r02-mono-2026-09-06","Desktop / R_02_easy",
"r02-mono-desktop-rovio","ROVIO","Desktop","LaMAria","R_02_easy","mono",,"9.29","9.29","38.86","419.3","5",,,,"r02-mono-2026-09-06","Desktop / R_02_easy",
"r02-mono-desktop-openvins","OpenVINS","Desktop","LaMAria","R_02_easy","mono",,"9.73","9.73","57.49","369.4","5",,,,"r02-mono-2026-09-06","Desktop / R_02_easy",
"r02-mono-desktop-orb-slam3","ORB-SLAM3","Desktop","LaMAria","R_02_easy","mono",,"15.36","15.36","306.98","824.9","5",,,,"r02-mono-2026-09-06","Desktop / R_02_easy",
"r02-mono-desktop-kimera-vio","Kimera-VIO","Desktop","LaMAria","R_02_easy","mono",,"25.63","25.63","218.62","291.6","5",,,,"r02-mono-2026-09-06","Desktop / R_02_easy",
"r02-mono-desktop-okvis2-x","OKVIS2-X","Desktop","LaMAria","R_02_easy","mono",,"27.23","27.23","114.24","345.1","5",,,,"r02-mono-2026-09-06","Desktop / R_02_easy",
"r02-mono-desktop-vins-fusion","VINS-Fusion","Desktop","LaMAria","R_02_easy","mono",,"41.63","41.63","217.7","81.2","5",,,,"r02-mono-2026-09-06","Desktop / R_02_easy",
"r02-mono-jetson-orin-sqrtvins","sqrtVINS","Jetson Orin","LaMAria","R_02_easy","mono",,"13.7","13.70","122.21","352.4","5",,,,"r02-mono-2026-09-06","Jetson Orin / R_02_easy",
"r02-mono-jetson-orin-openvins","OpenVINS","Jetson Orin","LaMAria","R_02_easy","mono",,"21.01","21.01","91.21","344.5","5",,,,"r02-mono-2026-09-06","Jetson Orin / R_02_easy",
"r02-mono-jetson-orin-orb-slam3","ORB-SLAM3","Jetson Orin","LaMAria","R_02_easy","mono",,"27.91","27.91","198.29","728.7","5",,,,"r02-mono-2026-09-06","Jetson Orin / R_02_easy",
"r02-mono-jetson-orin-rovio","ROVIO","Jetson Orin","LaMAria","R_02_easy","mono",,"31.73","31.73","77.95","371.7","5",,,,"r02-mono-2026-09-06","Jetson Orin / R_02_easy",
"r02-mono-jetson-orin-kimera-vio","Kimera-VIO","Jetson Orin","LaMAria","R_02_easy","mono",,"71.88","71.88","225.94","268","5",,,,"r02-mono-2026-09-06","Jetson Orin / R_02_easy",
"r02-mono-jetson-orin-vins-fusion","VINS-Fusion","Jetson Orin","LaMAria","R_02_easy","mono",,"84.76","84.76","187.56","247.9","5",,,,"r02-mono-2026-09-06","Jetson Orin / R_02_easy",
"r02-mono-jetson-orin-okvis2-x","OKVIS2-X","Jetson Orin","LaMAria","R_02_easy","mono",,"89.08","89.08","174.86","343.1","5",,,,"r02-mono-2026-09-06","Jetson Orin / R_02_easy",
"r02-mono-jetson-nano-sqrtvins","sqrtVINS","Jetson Nano","LaMAria","R_02_easy","mono",,"30.58","30.58","165.11","371","5",,,,"r02-mono-2026-09-06","Jetson Nano / R_02_easy",
"r02-mono-jetson-nano-openvins","OpenVINS","Jetson Nano","LaMAria","R_02_easy","mono",,"53.38","53.38","178.04","420.2","5",,,,"r02-mono-2026-09-06","Jetson Nano / R_02_easy",
"r02-mono-jetson-nano-orb-slam3","ORB-SLAM3","Jetson Nano","LaMAria","R_02_easy","mono",,"86.24","86.24","185.17","764.1","5",,,,"r02-mono-2026-09-06","Jetson Nano / R_02_easy",
"r02-mono-jetson-nano-kimera-vio","Kimera-VIO","Jetson Nano","LaMAria","R_02_easy","mono",,"170.14","170.14","180.36","407.9","5",,,,"r02-mono-2026-09-06","Jetson Nano / R_02_easy",
"r02-mono-jetson-nano-vins-fusion","VINS-Fusion","Jetson Nano","LaMAria","R_02_easy","mono",,"172.96","172.96","197.13","288.1","5",,,,"r02-mono-2026-09-06","Jetson Nano / R_02_easy",
"r02-mono-jetson-nano-okvis2-x","OKVIS2-X","Jetson Nano","LaMAria","R_02_easy","mono",,"277.58","277.58","121.57","465.1","5",,,,"r02-mono-2026-09-06","Jetson Nano / R_02_easy",
